Drug	Class	Subgroup	Specification	Name
Abiraterone acetate	ENDOCRINE THERAPY	HORMONE ANTAGONISTS AND RELATED AGENTS	Other hormone antagonists and related agents	Abiraterone
ADO-TRASTUZUMAB EMTANSINE	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Monoclonal antibodies	Trastuzumab emtansine
AFATINIB	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Protein kinase inhibitors	Afatinib
ALECTINIB HYDROCHLORIDE	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Protein kinase inhibitors	Alectinib
ALEMTUZUMAB	IMMUNOSUPPRESSANTS	IMMUNOSUPPRESSANTS	Selective immunosuppressants	Alemtuzumab
AXITINIB	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Protein kinase inhibitors	Axitinib
BEVACIZUMAB	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Monoclonal antibodies	Bevacizumab
BICALUTAMIDE	ENDOCRINE THERAPY	HORMONE ANTAGONISTS AND RELATED AGENTS	Anti-androgens	Bicalutamide
BLINATUMOMAB	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Monoclonal antibodies	Blinatumomab
BOSUTINIB MONOHYDRATE	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Protein kinase inhibitors	Bosutinib
CABOZANTINIB	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Protein kinase inhibitors	Cabozantinib
Capecitabine	ANTINEOPLASTIC AGENTS	ANTIMETABOLITES	Pyrimidine analogues	Capecitabine
CETUXIMAB	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Monoclonal antibodies	Cetuximab
CRIZOTINIB	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Protein kinase inhibitors	Crizotinib
DABRAFENIB	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Protein kinase inhibitors	Dabrafenib
DASATINIB	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Protein kinase inhibitors	Dasatinib
DOXORUBICIN HYDROCHLORIDE	ANTINEOPLASTIC AGENTS	CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES	Anthracyclines and related substances	Doxorubicin
Erlotinib	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Protein kinase inhibitors	Erlotinib
ERLOTINIB HYDROCHLORIDE	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Protein kinase inhibitors	Erlotinib
ETOPOSIDE	ANTINEOPLASTIC AGENTS	PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS	Podophyllotoxin derivatives	Etoposide
Everolimus	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Protein kinase inhibitors	Everolimus
GEFITINIB	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Protein kinase inhibitors	Gefitinib
GEMTUZUMAB OZOGAMICIN	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Monoclonal antibodies	Gemtuzumab
Goserelin acetate	ENDOCRINE THERAPY	HORMONES AND RELATED AGENTS	Gonadotropin releasing hormone analogues	Goserelin
IDELALISIB	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Other antineoplastic agents	Idelalisib
IMATINIB MESYLATE	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Protein kinase inhibitors	Imatinib
IPILIMUMAB	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Monoclonal antibodies	Ipilimumab
Ipilimumab	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Monoclonal antibodies	Ipilimumab
LAPATINIB	ANTINEOPLASTIC AGENTS	OTHER ANTINEOPLASTIC AGENTS	Protein kinase inhibitors	Lapatinib
LENALIDOMIDE	IMMUNOSUPPRESSANTS	IMMUNOSUPPRESSANTS	Other immunosuppressants	Lenalidomide
