	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CCNL2	5452.34058273	-2.33283192768	0.0608549175326	-38.3343207463	0.0	0.0
CLCN6	900.570793658	-1.96928619415	0.0403893968874	-48.757504343	0.0	0.0
NPPA	18.1723556634	-6.11744033113	0.121532963083	-50.3356470208	0.0	0.0
HSPB7	1349.95141317	-5.79442986965	0.129697265701	-44.6765769372	0.0	0.0
MAP3K6	2194.58735117	-2.30413668093	0.0612948591032	-37.5910266317	0.0	0.0
FCN3	224.184337464	-4.58075464714	0.106281165905	-43.1003424561	0.0	0.0
NKAIN1	1686.22831178	6.83662478532	0.167210930573	40.886231312	0.0	0.0
MARCKSL1	13771.2165602	2.28435721934	0.0596365956441	38.304621427	0.0	0.0
CDCA8	863.047667276	3.77380244514	0.0890607885993	42.3733329167	0.0	0.0
CDC20	1481.79933401	4.26488504423	0.107472123747	39.6836397712	0.0	0.0
KIF2C	1029.17842537	4.17498511442	0.0972952008885	42.9104937993	0.0	0.0
MKNK1	1232.14086945	-1.30500034875	0.0335063220405	-38.9478841389	0.0	0.0
TAL1	242.40398888	-3.31571193337	0.0800352288994	-41.428155813	0.0	0.0
PLPP3	4297.14600912	-2.65154861488	0.0609595358937	-43.4968635507	0.0	0.0
DEPDC1	538.214622712	5.0860944376	0.110453006454	46.0475871223	0.0	0.0
SRSF11	7472.3839889	-1.57752326293	0.0353972895492	-44.5662163125	0.0	0.0
ST6GALNAC3	221.750471673	-3.18807527653	0.0789554540216	-40.3781514024	0.0	0.0
SSX2IP	1254.96105688	2.42167516468	0.0553658689516	43.7394952982	0.0	0.0
S1PR1	2082.45842206	-3.21707663314	0.0815293892087	-39.4591038197	0.0	0.0
COL11A1	7629.07332606	6.9490236953	0.144992931937	47.9266375435	0.0	0.0
RNPC3	870.369620659	-2.54929203798	0.0542640116647	-46.97942448	0.0	0.0
VANGL1	2007.10629559	2.02897742432	0.0539580241456	37.6028858812	0.0	0.0
NPR1	1408.31486632	-4.29680714553	0.0896773851311	-47.9140548004	0.0	0.0
TDRD10	95.0567212353	-4.12395495269	0.10317934557	-39.9688031545	0.0	0.0
CCT3	17031.8452556	1.72788579746	0.0453940242697	38.0641686931	0.0	0.0
IQGAP3	1404.81022729	4.33446657022	0.0974858859305	44.462503765	0.0	0.0
ISG20L2	2850.49905426	1.42178098866	0.036012816186	39.4798613171	0.0	0.0
PEAR1	813.379936412	-3.77420875903	0.0766708940467	-49.2260955862	0.0	0.0
PIGM	1317.42273878	1.73473365815	0.0461182077253	37.6149409033	0.0	0.0
NUF2	644.024709342	4.65911080212	0.100937583368	46.1583351481	0.0	0.0
TMCO1	6289.71666549	1.57790665257	0.0410984941882	38.3932960013	0.0	0.0
ASPM	1223.1515708	5.39480432276	0.103341886952	52.203462525	0.0	0.0
KIF14	458.789260641	4.74799536324	0.107943326029	43.9860020801	0.0	0.0
UBE2T	857.233587207	4.27904174655	0.0859312438982	49.796110849	0.0	0.0
RABIF	933.070127397	2.07216683077	0.044145543452	46.9394341701	0.0	0.0
NEK2	948.904622832	6.16069186928	0.100733906326	61.1580757067	0.0	0.0
INTS7	1812.32432336	2.07842789996	0.0487315038001	42.6506004922	0.0	0.0
DTL	1105.04362007	4.7729763773	0.0863700907753	55.2619122483	0.0	0.0
CENPF	4329.80185956	5.44878356749	0.0904250672844	60.2574455416	0.0	0.0
SRP9	13578.3497121	1.64870879205	0.0406222672008	40.5863312331	0.0	0.0
PARP1	11007.1040245	1.84280587349	0.0435894124317	42.2764559255	0.0	0.0
EXO1	518.880815353	5.29749374763	0.105337934905	50.2904651817	0.0	0.0
MAP1LC3C	80.5493576725	-5.04369387282	0.131385748531	-38.3884396078	0.0	0.0
KIF26B	1314.37534933	4.18184138108	0.0972939089077	42.9815332535	0.0	0.0
RRM2	2053.65663626	5.29167529489	0.101044572263	52.369713448	0.0	0.0
EPAS1	10601.2014006	-2.6454152323	0.0678511685185	-38.9884992412	0.0	0.0
ANKRD53	77.511382684	-4.04854933448	0.0967750637608	-41.8346336045	0.0	0.0
ELMOD3	1213.9532082	-1.89224305451	0.0478018188429	-39.585168521	0.0	0.0
ATOH8	575.999588786	-5.07037107217	0.118832702829	-42.6681456489	0.0	0.0
NCAPH	584.293263568	3.53438042732	0.0879100822521	40.2044946014	0.0	0.0
BUB1	987.118139103	4.80038743758	0.0936349289334	51.2670591228	0.0	0.0
CKAP2L	434.482806673	5.04055803636	0.100540769788	50.1344683057	0.0	0.0
LIMS2	1539.71286472	-3.1435243447	0.0747523958261	-42.0524895552	0.0	0.0
GPR17	86.7592568707	-5.64477581694	0.133884770519	-42.1614481995	0.0	0.0
SPC25	261.766824152	3.6377380617	0.082645367169	44.0162369206	0.0	0.0
CLK1	4328.02038606	-2.05491956219	0.0508050350716	-40.4471635398	0.0	0.0
CFLAR	5070.63340568	-1.74723373559	0.0463092681571	-37.7296771277	0.0	0.0
TNS1	10252.7539546	-2.56762185554	0.0669169062706	-38.3703012982	0.0	0.0
GPBAR1	141.058545147	-5.06049324198	0.102810837972	-49.2213986562	0.0	0.0
HJURP	569.620099779	4.39655422386	0.0988887864353	44.4595831575	0.0	0.0
TTLL3	1819.68952819	-2.71148662918	0.0716352560447	-37.8512869067	0.0	0.0
PPARG	1046.29945882	-3.73196362329	0.0986226490253	-37.8408373753	0.0	0.0
NUP210	4888.93258649	2.9067765228	0.0702579069856	41.3729450181	0.0	0.0
GALNT15	1947.46359585	-4.71481285236	0.111737955578	-42.1952668451	0.0	0.0
SGO1	241.444491426	4.92862617728	0.106504766073	46.2761091263	0.0	0.0
NKTR	4731.05274439	-2.22033866523	0.0551851378068	-40.2343593489	0.0	0.0
KIF15	443.81799174	3.82093576662	0.0900203804122	42.4452301704	0.0	0.0
RBM6	3738.615861	-1.72798416417	0.0412516463421	-41.8888533525	0.0	0.0
RBM5	5133.57087209	-1.62121143795	0.0415919049742	-38.9790137999	0.0	0.0
POC1A	462.04541616	2.46742534285	0.0643396286927	38.3500090533	0.0	0.0
GLYCTK	265.599710809	-2.82308785716	0.0719330597931	-39.2460416014	0.0	0.0
OR5K2	2.29687488605	-2.47685693856	0.0632760491929	-39.1436723714	0.0	0.0
KLF15	401.788355378	-4.78141421352	0.118443672671	-40.3686757232	0.0	0.0
MCM2	2502.04967846	2.71864217442	0.0721473475125	37.6818035334	0.0	0.0
ACAD11	956.875139823	-2.10741558323	0.0475705677966	-44.3008288705	0.0	0.0
NPHP3	1015.21632404	-2.30957323813	0.049729576122	-46.4426487864	0.0	0.0
CCNL1	4274.45378865	-2.36064558065	0.047678218669	-49.5120339339	0.0	0.0
TRIM59	620.49478214	2.87319857734	0.0639328702209	44.9408663715	0.0	0.0
ECT2	2196.65512478	2.55255664069	0.0674976379454	37.8169772809	0.0	0.0
BCL6	4793.84955115	-2.95785512187	0.06321071448	-46.7935720424	0.0	0.0
LRRC15	5250.50914292	5.51585430092	0.127291327073	43.3325225507	0.0	0.0
LDB2	1091.11933435	-2.90288227279	0.0689153028194	-42.1224627047	0.0	0.0
NCAPG	863.872405854	4.31900614247	0.0904020145451	47.7755519521	0.0	0.0
PRDM8	116.181375968	-3.17163070529	0.0824563308783	-38.4643686119	0.0	0.0
HNRNPDL	9552.23310079	-1.15297610956	0.0281519299673	-40.9554908278	0.0	0.0
CENPE	760.261833331	3.92164657696	0.0885564537817	44.2841420302	0.0	0.0
MAD2L1	959.273399324	3.07190063788	0.0777969674431	39.4861231593	0.0	0.0
MND1	145.277656619	4.11209490132	0.108413798405	37.9296266879	0.0	0.0
NEIL3	120.150169654	5.06758488339	0.12125859269	41.7915528373	0.0	0.0
CENPU	951.1959397	3.31438276112	0.0772228977803	42.9196890609	0.0	0.0
DEPDC1B	236.63490045	3.89025324175	0.096564197386	40.2867040483	0.0	0.0
CCNB1	1937.58739046	3.69626072575	0.0731403622238	50.5365384224	0.0	0.0
MARVELD2	1244.15278885	2.88477295567	0.0700402188185	41.1873778286	0.0	0.0
CRHBP	68.333925086	-4.40885744221	0.113410725032	-38.8751367294	0.0	0.0
LVRN	159.910754888	-5.36696318145	0.134954977286	-39.7685456987	0.0	0.0
LMNB1	2335.62387376	3.39837685148	0.0747220793724	45.480223249	0.0	0.0
PITX1	1182.523171	5.39782753857	0.130975683859	41.212440199	0.0	0.0
KIF20A	1093.45019207	5.30252914126	0.0996152672752	53.230084969	0.0	0.0
CDC25C	216.009392303	5.00157551278	0.102803718737	48.6516983453	0.0	0.0
ARAP3	913.992843335	-2.3375132609	0.0600671429216	-38.915006561	0.0	0.0
ADRB2	369.82724486	-4.25224361605	0.101490265151	-41.8980442087	0.0	0.0
AFAP1L1	778.950318675	-2.48451787862	0.0633064902601	-39.2458635506	0.0	0.0
SMIM3	1554.98362326	-2.65413867363	0.068034663479	-39.0115646629	0.0	0.0
GPX3	25821.7536152	-5.79811799266	0.113956658506	-50.8800281499	0.0	0.0
PTTG1	900.401604902	3.89178941011	0.0924159689374	42.1116551053	0.0	0.0
HMMR	560.181580286	4.66207503205	0.0910190298813	51.2208824696	0.0	0.0
FAM193B	2013.14169963	-2.26907211287	0.0563481345876	-40.2688062255	0.0	0.0
PHYKPL	1163.65793877	-1.86253887788	0.048378089785	-38.4996366362	0.0	0.0
ZNF354B	412.473184039	-1.76859761809	0.0453788626923	-38.9740401844	0.0	0.0
FLT4	967.924400493	-2.65947403492	0.0645151115055	-41.2224976887	0.0	0.0
BTNL9	3950.95911264	-6.66656910653	0.117746068446	-56.6181885691	0.0	0.0
LY6G5B	379.548863173	-3.4113796859	0.0739967759002	-46.1017340878	0.0	0.0
PPT2-EGFL8	168.683291938	-2.76889065908	0.0713345757276	-38.8155481524	0.0	0.0
NOTCH4	2101.93720734	-3.27698913983	0.0652316724513	-50.2361662163	0.0	0.0
ZBTB9	715.12708661	1.83802525096	0.0400810643369	45.8576956817	0.0	0.0
MOCS1	1194.43546103	-2.83201367842	0.0631588555382	-44.8395344452	0.0	0.0
ADGRF5	2461.78973472	-2.64191128918	0.0679847605691	-38.8603455695	0.0	0.0
TTK	595.918351403	4.61565119997	0.101363265452	45.5357390017	0.0	0.0
PNISR	4796.12537938	-2.11569594586	0.0506434731448	-41.7762806237	0.0	0.0
COL10A1	5304.91480245	8.92057343639	0.133140829951	67.0010352173	0.0	0.0
FAM162B	64.9652235994	-3.64593913001	0.0856076374242	-42.5889469645	0.0	0.0
VIP	17.0092432283	-4.30477206803	0.102117610196	-42.1550412291	0.0	0.0
EZR	14767.1755254	2.25249893081	0.0515912328546	43.6604982314	0.0	0.0
GPR146	483.024681871	-4.0463910869	0.0881684383373	-45.8938727192	0.0	0.0
EIF2AK1	9760.17545556	1.43233405827	0.0343199740154	41.734706956	0.0	0.0
NOD1	712.956745762	-1.88852984496	0.0483001848809	-39.0998471251	0.0	0.0
ANLN	1706.5671849	4.86057537508	0.100437223987	48.3941628624	0.0	0.0
INHBA	2847.80808499	4.22920664578	0.0952213980168	44.4144565598	0.0	0.0
MLXIPL	1063.70622146	-5.95648064297	0.135415558541	-43.9866785409	0.0	0.0
CYP3A5	209.196450157	-4.98955450506	0.128108750808	-38.9478039056	0.0	0.0
