	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CLCN6	1609.08685815	-1.74886454632	0.0427092475477	-40.9481469878	0.0	0.0
AGMAT	87.0574486899	3.5437980902	0.0878376781672	40.3448515961	0.0	0.0
PADI4	228.301029603	-5.85731018856	0.112988291808	-51.8399746986	0.0	0.0
MAP3K6	4295.39839321	-2.01061086522	0.0516085414538	-38.9588779024	0.0	0.0
FCN3	9106.05227792	-5.83300817716	0.109615301171	-53.2134484407	0.0	0.0
FGR	3432.87464713	-3.13597219098	0.0691426623389	-45.3550974883	0.0	0.0
SERINC2	5975.06389924	2.51369759538	0.0632297420775	39.7549873333	0.0	0.0
GJA4	965.568274068	-2.49512358858	0.0650301657918	-38.368710247	0.0	0.0
MANEAL	681.930553539	3.05555009634	0.0787707699621	38.7904053471	0.0	0.0
RHBDL2	286.618666383	3.50775911233	0.0773815257909	45.3307049257	0.0	0.0
MKNK1	2290.22412651	-1.47662635094	0.0320759386419	-46.0353278332	0.0	0.0
TAL1	815.035242167	-4.27917208036	0.0695109398189	-61.5611311185	0.0	0.0
SGIP1	559.240433395	-2.72395505736	0.0681339621688	-39.9794019113	0.0	0.0
ST6GALNAC3	390.985021886	-2.88857913689	0.0764528437663	-37.7824943402	0.0	0.0
ADGRL2	4458.40940161	-2.58722647881	0.0682353720456	-37.9162068184	0.0	0.0
TGFBR3	2792.00151192	-3.32968447659	0.0788276053246	-42.240081541	0.0	0.0
S1PR1	3596.42443337	-3.06751258491	0.0612014692952	-50.1215513326	0.0	0.0
WNT2B	613.171061821	-2.83214141195	0.0654984775723	-43.2398052127	0.0	0.0
ITGA10	1213.37643326	-4.07323546166	0.0906032027295	-44.9568595695	0.0	0.0
TDRKH	977.11241927	2.07578277703	0.052103711871	39.8394414234	0.0	0.0
S100A12	667.761368291	-5.85349608274	0.134830302081	-43.4138023308	0.0	0.0
EFNA4	634.096281996	2.23551658819	0.0536762234212	41.6481720528	0.0	0.0
EFNA3	264.54600631	2.86526971278	0.0731113097144	39.1905127124	0.0	0.0
MEX3A	867.907144863	3.70786597503	0.0951180261935	38.9817379883	0.0	0.0
HAPLN2	17.5211373389	-4.11857792775	0.108940790792	-37.8056547763	0.0	0.0
CRABP2	5264.15355734	5.45927233566	0.124925016383	43.7003931937	0.0	0.0
PEAR1	1528.93331586	-3.72424666191	0.063328461946	-58.8084180078	0.0	0.0
TMCO1	4327.89125976	1.48527317369	0.0359783270005	41.2824413339	0.0	0.0
ANGPTL1	420.403677073	-3.38221838098	0.0893127342141	-37.8693857123	0.0	0.0
C1orf106	2610.7160917	2.99527787672	0.0696895488524	42.9803022985	0.0	0.0
LMOD1	2757.61718701	-3.05648109511	0.0749447557392	-40.7831217136	0.0	0.0
UBE2T	557.115164111	3.01278030874	0.0783214769131	38.4668475045	0.0	0.0
NEK2	440.555489592	3.86282811069	0.0967026670644	39.9454144126	0.0	0.0
HLX	987.050034703	-2.36264035852	0.0621022789294	-38.0443423212	0.0	0.0
ACTN2	267.528330636	-4.58451594749	0.105799623921	-43.3320627956	0.0	0.0
ALKAL2	383.813686933	-4.99337338682	0.109619645679	-45.5518110453	0.0	0.0
SDC1	19383.8394466	2.51565429294	0.0613354105123	41.014713555	0.0	0.0
XDH	585.279990769	5.3697412977	0.118713206555	45.2328890232	0.0	0.0
PLEKHH2	3337.54932344	-3.18634242702	0.0801547470932	-39.752385761	0.0	0.0
PRKCE	1825.83538529	-2.5425226263	0.053915455012	-47.1575845132	0.0	0.0
EPAS1	49423.370475	-2.7851114321	0.0563289733443	-49.4436746624	0.0	0.0
EPCAM	14030.8044004	3.03510923685	0.0571930001151	53.0678445045	0.0	0.0
STON1	1167.49503721	-2.3789566819	0.0617288488198	-38.5388149526	0.0	0.0
MEIS1	2409.45432219	-3.26232506356	0.0640388878198	-50.942875097	0.0	0.0
CNRIP1	682.987594503	-2.17557401619	0.0534784424402	-40.6813272212	0.0	0.0
PROM2	2515.28698749	3.71212089799	0.0808280081981	45.9261706522	0.0	0.0
ARID5A	3318.637193	-2.75407713799	0.0698797156076	-39.4116821175	0.0	0.0
IL1RL1	7236.05253751	-6.02851028102	0.138802665373	-43.4322371606	0.0	0.0
IL18R1	1292.61494195	-4.05822858272	0.0716025907464	-56.677119367	0.0	0.0
IL18RAP	508.677462544	-4.33561589926	0.0839162235159	-51.6660035165	0.0	0.0
TMEM182	256.229003312	2.44540645637	0.0524871714312	46.5905551716	0.0	0.0
GYPC	1886.06659571	-2.22951134833	0.0571100703936	-39.0388478419	0.0	0.0
LIMS2	3514.49585343	-3.63000901237	0.0662769075584	-54.7703437909	0.0	0.0
