	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CCNL2	6535.65085757	-2.32483292945	0.0562730245693	-41.3134525333	0.0	0.0
AGMAT	733.710721724	4.75388005989	0.110616012482	42.9764186325	0.0	0.0
EPHB2	3213.8459656	5.09743537744	0.116341862335	43.8142838281	0.0	0.0
HTR1D	245.721874062	8.2527242382	0.219948437515	37.5211769242	0.0	0.0
MTFR1L	2038.32458348	-1.56010265396	0.039798952981	-39.1995903687	0.0	0.0
PSMB2	5996.5529606	1.59135053946	0.0391565679235	40.6407053492	0.0	0.0
DMAP1	1496.42331721	-1.46457298717	0.0357142761892	-41.0080545777	0.0	0.0
MKNK1	1588.02044763	-1.13751321049	0.0283599685052	-40.1098192433	0.0	0.0
ECHDC2	3424.20914701	-2.79149978296	0.0673930960145	-41.4211536202	0.0	0.0
GSTM2	2389.25207495	-3.94993872606	0.0917429856693	-43.05439481	0.0	0.0
DCAF8	4802.48268693	-1.38239794583	0.0304905492146	-45.3385715063	0.0	0.0
GLUL	46271.4663046	-3.09764992505	0.0701121991118	-44.1813259931	0.0	0.0
RABIF	628.72631973	1.37714418164	0.034894943419	39.4654367282	0.0	0.0
DTL	766.196697053	3.93752708678	0.0966812127364	40.7269103824	0.0	0.0
LCLAT1	1144.54110703	1.72587465038	0.0443081308994	38.9516464664	0.0	0.0
MOB1A	7084.10576412	1.31069962054	0.0303506928352	43.1851631084	0.0	0.0
ELMOD3	833.003449363	-1.49659436204	0.0354581309584	-42.2073674382	0.0	0.0
MAT2A	10699.4413146	-1.65193633192	0.0431999466176	-38.2393141951	0.0	0.0
ANKZF1	2102.80646658	-1.96060045246	0.0444332393048	-44.124634691	0.0	0.0
TM4SF20	1008.25627521	9.28989183938	0.24079542467	38.5800180885	0.0	0.0
DGKD	6079.12684634	-2.78747968863	0.0741601664827	-37.587290062	0.0	0.0
GRIP2	617.667091615	-4.33807479583	0.114984589478	-37.7274451777	0.0	0.0
NICN1	641.466589797	-2.04808803217	0.0486670688114	-42.0836529135	0.0	0.0
RBM6	4081.13807396	-2.15893721184	0.047391748518	-45.5551288853	0.0	0.0
RBM5	4940.37951553	-1.79967248951	0.0409548562319	-43.9428349917	0.0	0.0
HEMK1	1137.21296822	-2.01892890259	0.0466187587985	-43.3072212693	0.0	0.0
ZBTB20	361.139398434	3.81199696738	0.0983046776476	38.777371114	0.0	0.0
ILDR1	332.551973167	5.3734723693	0.109352012878	49.1392177233	0.0	0.0
CLDN1	3134.18983827	5.49920878472	0.113232283995	48.5657322336	0.0	0.0
WDR19	1050.89981193	-1.96567807016	0.0494019782719	-39.7894606434	0.0	0.0
KIAA1211	681.989664506	4.07467245152	0.0961880200151	42.3615378597	0.0	0.0
APBB3	878.253128146	-2.69419807141	0.0495926164956	-54.3265966143	0.0	0.0
CDX1	1430.45331876	9.17558893017	0.227026621704	40.4163567308	0.0	0.0
PRR7	454.910863241	3.51747163897	0.0892855721195	39.3957450848	0.0	0.0
FAM193B	2133.9870897	-2.43840939411	0.047301617894	-51.5502323741	0.0	0.0
HNRNPH1	12301.5110996	-1.62386826455	0.0389076093967	-41.736521203	0.0	0.0
MRNIP	1431.81051761	-2.28685074689	0.0576334416686	-39.6792327627	0.0	0.0
TRIM15	547.530880831	6.14946924694	0.156866098414	39.2020284122	0.0	0.0
EGFL8	465.913883827	-2.83715671502	0.069112252102	-41.0514290698	0.0	0.0
GNMT	428.455858367	-6.32966734431	0.164082911598	-38.5760301463	0.0	0.0
COL10A1	1305.48170242	7.68290300514	0.167778893047	45.7918327246	0.0	0.0
IGF2BP3	613.98442801	6.75955610359	0.171942695603	39.3128424555	0.0	0.0
SNX10	754.676259435	3.46898036172	0.0849918243739	40.8154594548	0.0	0.0
HOXA10	592.921114306	6.70575192883	0.160889390773	41.6792673314	0.0	0.0
HOXA13	747.833404728	8.26558969158	0.212077381181	38.9744047458	0.0	0.0
CLDN3	4703.38525491	7.77132122053	0.15773085846	49.2695043721	0.0	0.0
TRIM73	433.163454375	-4.8520101535	0.108049813279	-44.9053080823	0.0	0.0
MUC3A	9170.06644376	6.20631432706	0.162496728294	38.1934725224	0.0	0.0
MUC17	13541.5435768	9.82085075049	0.235699922711	41.6667542253	0.0	0.0
WDR91	839.61606291	-2.1151131151	0.0556297098135	-38.0212861472	0.0	0.0
MGAM2	2415.44955258	6.73361371541	0.164097759949	41.034159866	0.0	0.0
AOC1	4700.63967258	6.27568305008	0.143337494555	43.7825641474	0.0	0.0
POMK	288.522495633	3.38272203532	0.0803518329254	42.0988782976	0.0	0.0
ADHFE1	842.829274263	-5.30524842334	0.118869455658	-44.6308801025	0.0	0.0
CDH17	6453.0223394	8.82657499165	0.172609767149	51.1360112317	0.0	0.0
MTDH	8638.34849183	1.60699170926	0.039884897642	40.290731687	0.0	0.0
IL11RA	565.554721027	-3.24684525218	0.076110629662	-42.6595505332	0.0	0.0
HKDC1	1130.51678977	5.05848970596	0.132430306459	38.1973721969	0.0	0.0
KIF20B	1122.80146406	2.78511957843	0.0651772628533	42.731459661	0.0	0.0
PIK3AP1	1650.2303886	3.28081399688	0.0814507376334	40.2797333971	0.0	0.0
CLRN3	564.693037789	6.95104668293	0.1561291822	44.5211240139	0.0	0.0
PRAP1	1610.51282109	8.02930191951	0.182046524778	44.1057687274	0.0	0.0
TRIM3	901.935258513	-1.73229814024	0.0448764786447	-38.6014721421	0.0	0.0
MDK	9843.41101623	3.52521183358	0.0933015659192	37.7829868003	0.0	0.0
MYBPC3	121.242075535	-5.64791144984	0.138796936521	-40.6919027999	0.0	0.0
NXF1	4254.11183751	-1.45451762731	0.0298453435062	-48.7351612154	0.0	0.0
DDIAS	343.585827288	3.76537303007	0.0929417392546	40.5132619668	0.0	0.0
ACAD8	1113.8193839	-1.68890000812	0.0384591513098	-43.9141257828	0.0	0.0
GUCY2C	1132.35142079	7.60632105606	0.191009600189	39.8216689033	0.0	0.0
CALCOCO1	5369.06878556	-2.26037624147	0.0584482230096	-38.673138807	0.0	0.0
METTL7B	852.946526398	4.66165812431	0.109094206761	42.7305744521	0.0	0.0
PAN2	2471.46484822	-2.00959277768	0.0521962100556	-38.500741252	0.0	0.0
MTERF2	707.248577355	-2.29885946711	0.0521592580379	-44.0738529187	0.0	0.0
CDX2	1146.47645713	8.60630465346	0.186451138684	46.1584987584	0.0	0.0
CKAP2	1693.54303134	3.15434806102	0.0749861518576	42.0657412453	0.0	0.0
METTL17	1579.94979059	-1.70193233765	0.0413740523726	-41.1352584544	0.0	0.0
BCL2L2	2811.03200045	-1.88701379743	0.0483398742676	-39.0363819935	0.0	0.0
SDR39U1	1551.3772599	-1.55994768149	0.0383833089393	-40.6413028109	0.0	0.0
SRSF5	9091.05268419	-2.20373847968	0.0367050985279	-60.0390291285	0.0	0.0
STRA6	404.298802094	6.32212647305	0.167946289038	37.6437402056	0.0	0.0
CLK3	2396.02468156	-1.23818520294	0.0326378530931	-37.937091003	0.0	0.0
FAM219B	1805.55108168	-1.66453361389	0.0423559844787	-39.2986642709	0.0	0.0
MAN2C1	3651.26120652	-2.20575298892	0.0407455378681	-54.1348354772	0.0	0.0
LUC7L	1873.60213368	-2.07311353814	0.0454069312473	-45.6563234112	0.0	0.0
SH2B1	2407.67738763	-1.73839395041	0.0433988675865	-40.0562053133	0.0	0.0
KIAA0895L	1152.80953118	-2.62998634214	0.0521632997409	-50.4183277363	0.0	0.0
CENPT	1836.32205566	-2.20440252518	0.0441690987012	-49.9082523755	0.0	0.0
TAF1C	2528.228677	-1.90992682124	0.0419899912916	-45.4852873862	0.0	0.0
ACADVL	13852.0360039	-2.23208894386	0.0486609457243	-45.8702335239	0.0	0.0
CLDN7	5613.81123058	5.34031259682	0.0929658092499	57.4438348884	0.0	0.0
CORO6	548.769517693	-4.7812351449	0.125481729622	-38.1030382616	0.0	0.0
CCL15	322.434112216	7.08965634769	0.181467219786	39.0685235386	0.0	0.0
CDK5RAP3	5876.10447244	-2.24332858614	0.0514444529901	-43.6068119254	0.0	0.0
HOXB9	544.34498086	6.60281226985	0.174501819185	37.838071263	0.0	0.0
HOXB13	326.373088274	8.82986810803	0.226052108824	39.0612065243	0.0	0.0
RSAD1	1414.87312672	-1.70281981613	0.0403345094402	-42.2174420804	0.0	0.0
PRR11	824.755639513	4.03627809462	0.0902384375053	44.729033505	0.0	0.0
DDX5	25281.4785929	-1.47437704534	0.0339180690577	-43.4687789222	0.0	0.0
ENGASE	2078.63782618	-2.45830568513	0.0632952866028	-38.8386847911	0.0	0.0
TEPSIN	1329.85074532	-1.64683034231	0.0421952834498	-39.0287778081	0.0	0.0
ONECUT2	2603.78450162	7.4444899706	0.139379556615	53.4116347578	0.0	0.0
SERPINB5	3476.59179011	7.53800388482	0.159914019556	47.1378551157	0.0	0.0
CIRBP	8804.42726354	-2.57523019613	0.0487388791907	-52.8372879904	0.0	0.0
EFNA2	201.452364216	7.45614654076	0.195726892486	38.0946452787	0.0	0.0
PLIN5	1372.64547369	-6.445077499	0.122048900085	-52.8073378336	0.0	0.0
AC011498.5	175.677884974	-6.15948391422	0.143017930717	-43.0679138158	0.0	0.0
AKAP8L	2125.34807221	-1.57003248683	0.0336987985321	-46.5901621191	0.0	0.0
U2AF1L4	570.045871459	-1.95762320183	0.0513068129849	-38.155229061	0.0	0.0
CEACAM6	21806.2089576	8.17142068729	0.182814242997	44.697943406	0.0	0.0
CLASRP	1934.43202268	-1.72540092225	0.0425748775802	-40.5262685488	0.0	0.0
GRIN2D	1500.17761371	6.26208757197	0.117071732929	53.4893215919	0.0	0.0
SNRNP70	10898.0218998	-2.34237992252	0.0377829926333	-61.9956165267	0.0	0.0
KLK6	1922.90913731	9.64001468792	0.252059370212	38.2450161635	0.0	0.0
LENG8	13598.4833382	-2.55169344092	0.0540554173546	-47.2051380934	0.0	0.0
CST1	3268.63245624	12.2822974376	0.24551084105	50.0275156285	0.0	0.0
ZFP64	1089.0239861	1.61964274324	0.0425991359836	38.0205538408	0.0	0.0
UBE2G2	3208.93315326	-1.45107981316	0.0341469906522	-42.495100899	0.0	0.0
TUBGCP6	2864.70205075	-1.85227154356	0.0459967168568	-40.2696468387	0.0	0.0
FOXP3	228.28219245	4.05129567799	0.0999050626237	40.5514552676	0.0	0.0
TSPYL2	3156.53355549	-3.67226500604	0.0801796084618	-45.8004856408	0.0	0.0
GNL3L	1089.30346501	2.67542155773	0.0459177422236	58.2655293613	0.0	0.0
DUSP18	561.861017274	1.96462235466	0.0524033870523	37.4903697103	1.32197572857e-307	2.13304034565e-305
MMP11	4000.41884847	5.20966956701	0.139082088746	37.4575160179	4.53198591494e-307	7.25301973461e-305
ATG16L2	1297.71843357	-2.39732251144	0.064085829824	-37.4079967134	2.89660745308e-306	4.59836433176e-304
SLC26A10	172.848638694	-4.94329027801	0.13220138349	-37.3921221361	5.24709292408e-306	8.26312193684e-304
SEC31B	686.775411641	-3.23149465747	0.086476202873	-37.3686002635	1.26487531776e-305	1.97611671667e-303
PNPLA7	1234.19538636	-3.63614223093	0.0973241753965	-37.3611409099	1.67178294004e-305	2.59126355707e-303
AHSA2	3663.51922908	-2.53384447337	0.0678438338959	-37.348191101	2.7127765008e-305	4.1719535483e-303
ECT2	3454.23180585	3.08342560244	0.0826622771854	37.3014839105	1.55266907376e-304	2.36932486178e-302
CIP2A	442.486568556	2.56743060903	0.068889378568	37.2688890857	5.23911455094e-304	7.93322845655e-302
TTLL3	1756.34279001	-2.52857999675	0.0678942228183	-37.2429330772	1.37888865159e-303	2.07201703104e-301
NEURL4	1250.79696069	-1.43749052539	0.0386127433989	-37.2283966083	2.37012516051e-303	3.53453892308e-301
SLC27A2	551.76175688	4.02519241021	0.108163940685	37.2138106723	4.08057825637e-303	6.03956262983e-301
GOLGA8N	561.629825408	-3.07356996343	0.0826210598872	-37.2008053108	6.62256154626e-303	9.72874059987e-301
INTS7	1139.45060205	1.66593101821	0.044950086458	37.0617978625	1.15950444198e-300	1.69072925484e-298
RHOT2	3511.83846161	-1.51330229227	0.0409269233598	-36.9757159357	2.81334879775e-299	4.07211552087e-297
CLDN4	13383.6376476	4.64775601097	0.125701096436	36.9746656374	2.92483730941e-299	4.20258557926e-297
IZUMO4	132.3336234	-2.96972858447	0.0803827960796	-36.9448281138	8.81832815226e-299	1.25788978027e-296
ACCS	847.018660575	-2.59375206206	0.0702438998741	-36.9249438985	1.83897068649e-298	2.6043264722e-296
CLSPN	508.755328049	3.92968666741	0.106558632964	36.8781632995	1.03475382789e-297	1.454937793e-295
TUBG2	939.649106403	-2.35496155189	0.0639274020384	-36.8380612507	4.54185620167e-297	6.34088222198e-295
SPSB3	1957.61929286	-1.57138772174	0.0426680420157	-36.8282125804	6.5296947658e-297	9.05190432851e-295
MTERF4	1145.53502562	-1.24736804811	0.0338985885011	-36.797049767	2.05814592501e-296	2.83318898838e-294
AC006254.1	221.17935961	-3.16794102208	0.0861672104133	-36.7650409812	6.68583504954e-296	9.13962937155e-294
DDX17	27605.8492458	-1.31805366317	0.035864508764	-36.7509191843	1.12398271e-295	1.52590342389e-293
KIF18A	413.737749723	3.59456688385	0.0979677539018	36.6913268978	1.00421826924e-294	1.35397511165e-292
IL32	8790.77339821	3.56501748308	0.0972075501312	36.6742858787	1.87720818212e-294	2.51379884796e-292
NBPF12	3876.24204732	-3.43609873237	0.0938758829905	-36.6025716394	2.60296730036e-293	3.46212238565e-291
CXXC1	2098.98163605	-1.48864113654	0.0407028016334	-36.5734317246	7.5656522476e-293	9.99529291906e-291
MYB	954.038784942	4.21120967014	0.115379129764	36.4988857061	1.15501211113e-291	1.51576089384e-289
F2R	2798.44269229	2.69170003364	0.0737609465955	36.4922110938	1.47386334877e-291	1.92139072984e-289
RNPC3	875.295307589	-1.91661414288	0.0525747637323	-36.4550215125	5.72786982054e-291	7.41796825115e-289
PHF1	2450.8466109	-1.82271194049	0.0500365137752	-36.4276365992	1.55496276616e-290	2.00061712758e-288
LMBR1L	1037.02521373	-1.41684476297	0.0388998131664	-36.4229194858	1.84670519396e-290	2.36054491838e-288
DMBT1	26555.9890471	8.19253708521	0.225125544028	36.3909707385	5.91466931527e-290	7.51163003039e-288
STK19	647.434182509	-1.37822928371	0.0379386919709	-36.3278018326	5.89065900657e-289	7.43318093233e-287
FAM156A	1083.12511211	-2.04003368011	0.0561970643054	-36.3014279362	1.5361293414e-288	1.92603223474e-286
JMJD7-PLA2G4B	881.024125969	-2.29445388779	0.0632168613591	-36.2949668563	1.94248702405e-288	2.42011753598e-286
IKBKB	2172.16786315	-1.40154260583	0.038630072774	-36.2811277636	3.21087525231e-288	3.97522511583e-286
SKA3	670.706683216	4.14273594774	0.114236123222	36.2646755762	5.83436258626e-288	7.17808921941e-286
