	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
UBE2C	3739.18841796	5.71316867708	0.322833282136	17.6969630866	4.42536576914e-70	8.5321052029e-66
UHRF1	2359.27056829	5.24122090788	0.299075261905	17.5247557237	9.27389982036e-69	8.94003942683e-65
SKA3	666.966408446	5.56913053677	0.325807917208	17.0932940627	1.66497277386e-65	1.07002250267e-61
MYBL2	4671.06026428	6.7907047164	0.400389512463	16.9602462228	1.61665587809e-64	7.79228133238e-61
ASF1B	1732.28089536	4.9139930761	0.290796695968	16.8983800168	4.62437596475e-64	1.78315937201e-60
CDK1	2577.31832715	4.72061768908	0.284300875659	16.6043023193	6.4869991444e-62	2.0844890584e-58
BIRC5	3068.64425496	5.52957471334	0.334817862299	16.5151723847	2.85344500907e-61	7.85920282499e-58
TK1	4397.07799127	5.03945219978	0.310507422067	16.2297318571	3.10814201873e-59	7.49062226515e-56
TPX2	5149.11271165	5.47444178998	0.338063485965	16.1935317396	5.60189199165e-59	1.2000497511e-55
CDC6	1728.71137189	4.75857636175	0.294041118925	16.1833704727	6.6076135642e-59	1.27394789518e-55
CDC20	3801.22628206	5.65129699559	0.350226783184	16.1361074222	1.42233342308e-58	2.49296258154e-55
CDC45	932.897361162	5.27193792732	0.334945367257	15.739695015	8.08323229328e-56	1.29870598845e-52
GINS1	1125.35834893	4.46988556672	0.288817710862	15.4764939912	4.99988995282e-54	7.41522140695e-51
PKMYT1	1561.24355133	5.23588442528	0.339040217034	15.4432547002	8.3764447964e-54	1.15355611196e-50
CDT1	1632.57596968	4.98241745023	0.324236334291	15.3666228097	2.74088677444e-53	3.52295313408e-50
NEK2	931.469489957	5.15841881535	0.33583928363	15.3597838811	3.04588291115e-53	3.67028890794e-50
PCLAF	1429.24521386	4.75480599366	0.310734237296	15.301841326	7.43237351317e-53	8.42918596082e-50
DTL	864.15707074	4.91310869934	0.321904327459	15.2626363806	1.3565482014e-52	1.45301385127e-49
TTK	910.057381247	5.0024088917	0.329857982601	15.1653413152	5.99862605012e-52	6.08702685507e-49
CCNB2	1865.5754182	4.64046960271	0.306830076227	15.123907212	1.12655221016e-51	1.0859963306e-48
KIFC1	2093.82927221	4.78033027166	0.316155602284	15.1201820785	1.19212531329e-51	1.09448457334e-48
CENPF	3897.71005116	4.8337094974	0.320927305749	15.061695938	2.89270121726e-51	2.53505815768e-48
KIF4A	1428.80868962	4.85841787765	0.323831072735	15.0029391454	7.02388410627e-51	5.88784719865e-48
CEP55	1468.13633323	4.87271860882	0.326650884027	14.9172062502	2.54716837341e-50	2.04622525997e-47
KIF2C	2124.21521313	4.50688824977	0.302374195495	14.9050028637	3.0579950209e-50	2.35832576012e-47
SKA1	610.773836967	4.95703452184	0.333993880979	14.8416926301	7.87437318932e-50	5.83915058039e-47
JPT1	10742.1965709	3.63533012914	0.245410710753	14.8132496662	1.20281773437e-49	8.58900959953e-47
MCM10	709.298960563	5.49254379236	0.372462692044	14.7465609568	3.23746772456e-49	2.22922777606e-46
SGO1	459.982679522	5.3183859932	0.361581709099	14.7086698784	5.67111805799e-49	3.77031572959e-46
RAD51	695.243879318	4.12122136122	0.28244666452	14.5911489811	3.19766424223e-48	2.05503221967e-45
CENPM	704.917352442	4.72577539503	0.325291793555	14.5278039245	8.07685165669e-48	5.02328064326e-45
CDCA8	1469.69226003	4.38848343079	0.302218575024	14.5208924714	8.93394392571e-48	5.38270121524e-45
NCAPH	1034.17140401	4.70233233071	0.324224782589	14.5033093805	1.15446936807e-47	6.60504805669e-45
AURKB	1557.72122344	4.8577646306	0.334955912679	14.5026985544	1.1647906324e-47	6.60504805669e-45
RRM2	4249.33428894	5.18792218036	0.360076173758	14.4078463349	4.61889949938e-47	2.54435378137e-44
LMNB1	3208.41539978	4.08855960179	0.284173443384	14.3875499171	6.19519867525e-47	3.3178730683e-44
NCAPG	1359.82133729	4.47292525972	0.311876645999	14.3419692276	1.19612623264e-46	6.23278750415e-44
GINS2	1037.97279353	4.33876316598	0.302615228428	14.3375572621	1.27463452061e-46	6.46709304143e-44
TOP2A	8012.70850547	4.79604390302	0.335500233104	14.2952028934	2.34421594848e-46	1.15888419196e-43
MELK	1340.01778283	5.27505834306	0.370524919653	14.2367167855	5.4214962173e-46	2.61316117674e-43
MKI67	5822.54965048	4.57264365099	0.321296388856	14.231855102	5.81192988083e-46	2.73302458786e-43
CKS2	2132.65418223	4.10320517237	0.2900273524	14.1476489663	1.93105898572e-45	8.86448029635e-43
CALR	54487.0887454	2.49203972257	0.17664276167	14.1077941661	3.40048994305e-45	1.52468479307e-42
PLCD4	165.613360748	-4.79121369826	0.340124147252	-14.0866614057	4.58741741209e-45	2.01012290239e-42
KIF18B	1119.97217392	4.64858757706	0.330857323447	14.0501274949	7.68954762759e-45	3.29454396133e-42
FOXM1	3733.64149141	4.82132199273	0.344306008786	14.0030143817	1.49397123202e-44	6.26168812028e-42
DLGAP5	1157.59106986	4.97700029576	0.356034841258	13.9789698058	2.0949857489e-44	8.59389898697e-42
HJURP	1079.81543789	4.35891605162	0.31187991621	13.9762640204	2.17615341356e-44	8.74088287778e-42
CDCA5	1899.57813501	4.59789887241	0.329754214181	13.9434120162	3.45042446044e-44	1.35763639995e-41
EXO1	554.964421358	4.86209694276	0.351275110438	13.8412793799	1.43627294011e-43	5.53826845705e-41
ZWINT	2275.44126037	3.93964352455	0.286260574025	13.7624384286	4.28815729846e-43	1.62109162185e-40
DEPDC1	785.315388796	5.0667685895	0.368601325346	13.7459315556	5.38751080414e-43	1.99752323661e-40
CDC25C	341.867556845	4.69634146036	0.343519796343	13.6712396501	1.50804002155e-42	5.4858512482e-40
NUF2	1025.27907849	4.89191976237	0.360366902782	13.5748308865	5.64738963735e-42	2.01632726311e-39
RAD54L	727.528969245	4.34840622471	0.321289797634	13.5342181941	9.82218545854e-42	3.44312246619e-39
CENPA	516.739452354	5.03816252282	0.373569255298	13.4865555754	1.87665172547e-41	6.46104379769e-39
TROAP	1348.59134297	4.32670649824	0.321119836333	13.473806376	2.23063510729e-41	7.54502541553e-39
BUB1B	1153.58384541	4.18669763634	0.310906488875	13.466099249	2.47605610744e-41	8.23075202611e-39
GTSE1	833.359927069	4.14636725524	0.308312543606	13.4485843707	3.13822777507e-41	1.02550900853e-38
CDC25A	661.708406979	4.11634153597	0.306323032045	13.4379106543	3.6252856305e-41	1.16492511593e-38
RPN1	18404.742007	2.03817714779	0.152015212157	13.4077183386	5.44895560721e-41	1.72222728044e-38
NUSAP1	2365.88333446	4.14715230374	0.309988091281	13.3784245924	8.08427400175e-41	2.51394843151e-38
CCNB1	3328.04634534	4.11193716758	0.307396912623	13.3766378214	8.28093090866e-41	2.53422774474e-38
RCC2	12761.4085	2.19146375024	0.164395169568	13.3304631517	1.53938995162e-40	4.63741222926e-38
NDC80	1102.05064507	4.40554616131	0.331438333521	13.2922046599	2.56895789989e-40	7.61992435537e-38
C16orf59	458.854951373	4.1261597679	0.311091418619	13.2634959402	3.76907157518e-40	1.10102575711e-37
AURKA	1543.33641514	3.96667364831	0.301753317187	13.1454185335	1.80802343392e-39	5.20278982178e-37
UBE2T	1026.20278345	3.48679591614	0.267124397978	13.0530791741	6.10299626822e-39	1.73037894193e-36
BLM	591.436409871	3.36891217749	0.258450370941	13.035044853	7.73215355282e-39	2.16052058693e-36
DEPDC1B	537.631000913	4.40916656484	0.339788878703	12.9761944584	1.66972875881e-38	4.59891006712e-36
CKAP2L	757.167358333	4.72624079145	0.364740771229	12.957807748	2.12226361789e-38	5.76299190886e-36
NME1	6136.89545312	2.81452753622	0.218401509024	12.8869418018	5.33164471222e-38	1.42769597294e-35
ESPL1	1276.55087966	4.16965589435	0.324401776574	12.8533694802	8.23438539396e-38	2.1747801424e-35
SPC25	395.24978031	4.30854026482	0.33597604321	12.8239508498	1.20405358113e-37	3.13704770867e-35
BUB1	1625.1982625	3.81747292452	0.29818669227	12.8022913949	1.59183826043e-37	4.09208555482e-35
DIAPH3	536.381183851	4.974523819	0.389005862228	12.7877862573	1.91861485329e-37	4.8672229436e-35
OIP5	268.038271345	4.49233496023	0.352017879904	12.7616669967	2.68395161292e-37	6.72033598664e-35
CDCA2	467.553279068	4.48010106263	0.352148239506	12.7222020729	4.45136097545e-37	1.10028512316e-34
IQGAP3	1924.85249678	4.21624374256	0.332452461387	12.6822455306	7.41759313635e-37	1.81026829961e-34
PBK	670.81610879	4.66525628858	0.369064414666	12.6407643305	1.25824824549e-36	3.03237827162e-34
PTTG1	1982.13417559	4.09563279853	0.32592867227	12.5660402014	3.24577850257e-36	7.72575426291e-34
KIF11	1868.32064314	3.63086336426	0.288988444391	12.5640434237	3.32876641129e-36	7.82666053777e-34
POLQ	609.758719578	3.96037259073	0.315258459767	12.5623039383	3.40277747327e-36	7.90428309453e-34
KPNA2	8224.2945246	3.37401390201	0.269543093859	12.5175305132	5.98689845534e-36	1.3741357407e-33
SHCBP1	781.111259968	4.10399060523	0.329201449354	12.4665022383	1.13708568101e-35	2.5791778741e-33
KNL1	805.882816994	3.93644713269	0.316009925987	12.456719897	1.2854996831e-35	2.88191091747e-33
ASPM	1408.29844572	4.50630973641	0.363613752899	12.3931223736	2.84737070277e-35	6.31003530452e-33
OTX1	227.361674388	6.83375057404	0.552376264463	12.371549999	3.72561737027e-35	8.16248896576e-33
HMGB3	4626.41531016	3.30601958965	0.268261338468	12.3238764428	6.73760041619e-35	1.45956107892e-32
CENPU	1162.11740583	3.70716554651	0.301378527154	12.3006956783	8.97973812749e-35	1.92365945664e-32
PRR11	895.247865002	4.15965874871	0.339051708382	12.2685084483	1.33693468082e-34	2.83253853256e-32
SNRPG	3177.2468285	2.24277988016	0.183284131502	12.2366287893	1.98090827938e-34	4.151294742e-32
PIMREG	620.467304389	4.86137892606	0.397364415642	12.2340570386	2.04465524417e-34	4.2388121621e-32
KIF23	1494.27640368	3.63410149706	0.298384313807	12.1792645555	4.0088036948e-34	8.22231225913e-32
FANCA	1385.24496699	3.38497483975	0.278070869056	12.1730652737	4.3252884351e-34	8.77805905566e-32
CALCOCO1	3089.78226595	-2.29831880013	0.189497184663	-12.1285115883	7.45928751201e-34	1.49807357533e-31
SPC24	837.724510515	3.75628706255	0.312524443501	12.0191784696	2.81758796994e-33	5.60031918149e-31
SPAG5	2601.07054116	3.48232534028	0.29040415193	11.9913070014	3.94628798493e-33	7.76371758667e-31
RNASEH2A	2020.02733575	2.80556538443	0.237544666793	11.8106856378	3.43746617341e-32	6.69437856801e-30
HMMR	908.615948964	3.98616136035	0.338108808674	11.7895815137	4.41730490471e-32	8.51656385629e-30
LSM11	440.427517677	-2.5547566453	0.216844796391	-11.7814985087	4.86209123901e-32	9.28129891962e-30
CCNA2	1705.20093714	3.59151514594	0.305041389211	11.7738617544	5.3230756789e-32	1.00616567734e-29
FAM111B	757.261846716	4.66942462923	0.396661534995	11.7718110209	5.45409108965e-32	1.02092112824e-29
ESCO2	305.615954622	4.20572513404	0.357943957068	11.749674917	7.08910384949e-32	1.31421079056e-29
TRIP13	1442.2827071	4.2595954389	0.362607648989	11.7471196506	7.30671418247e-32	1.34165189941e-29
CENPK	430.122436104	3.70552439935	0.315868328034	11.7312312457	8.81667606725e-32	1.60363692997e-29
SAPCD2	1752.33962427	4.43719495271	0.378933537975	11.7096918273	1.13692096258e-31	2.04858281855e-29
ORC6	708.22375425	3.56043903917	0.304205400688	11.7040625548	1.21494520563e-31	2.16890218191e-29
ANLN	2933.90024176	4.27393057842	0.36553091026	11.6923916923	1.39404691056e-31	2.46580040694e-29
ORC1	487.051886659	3.87545745517	0.332454520678	11.6571056013	2.11096846913e-31	3.69995200771e-29
TSPYL2	1444.27322107	-3.13273884301	0.269097284556	-11.6416590683	2.53044833817e-31	4.39522918558e-29
PDIA3	32439.8371106	1.95361759103	0.168015179358	11.6276255425	2.9827942733e-31	5.13466728475e-29
KIF14	616.234526746	4.19680108715	0.362197571033	11.5870492317	4.79363574141e-31	8.17887584906e-29
STARD9	331.177197566	-4.05868974184	0.351266103653	-11.5544588551	7.00875733805e-31	1.18534071472e-28
PKD1	2813.17043284	-2.60066513236	0.225094635992	-11.5536521823	7.07487351434e-31	1.18611792484e-28
MND1	225.180670094	3.950497334	0.343098169069	11.5141894949	1.11906758977e-30	1.85996751128e-28
ERCC6L	352.945009721	3.92306640004	0.345698600671	11.348227596	7.56812463047e-30	1.24712344338e-27
PLK1	2361.04268133	3.73865930697	0.330725762547	11.3044090614	1.24791421429e-29	2.03896491963e-27
ESM1	660.175506037	6.01789967556	0.533946738357	11.2705991876	1.83318095202e-29	2.97006123991e-27
AUNIP	319.583542884	3.75904577617	0.335778155876	11.1950277598	4.31267150778e-29	6.92902555584e-27
KIF15	700.526949052	3.6208840243	0.324966829268	11.1423188405	7.80600110884e-29	1.24379918495e-26
KIF18A	408.514370132	3.92883812588	0.354337341538	11.087846708	1.43705290964e-28	2.27101476212e-26
POC1A	881.292537948	3.08222992464	0.279025140168	11.0464237121	2.28122469653e-28	3.57577334546e-26
ECE2	787.322246042	3.00866096134	0.27250588476	11.040719227	2.43079590462e-28	3.77949556783e-26
GPR17	22.9166390755	-6.21096570594	0.562894131377	-11.0339855396	2.61991341851e-28	4.04095445671e-26
PARPBP	458.085643171	2.96229369327	0.269293021034	11.0002616551	3.81024709296e-28	5.83028285335e-26
FAM72B	360.537608606	3.88396185244	0.353389693593	10.9905917543	4.2413609374e-28	6.43885345457e-26
FEN1	2901.86167888	3.09413262976	0.282349798218	10.9585083797	6.0488101629e-28	9.11102030786e-26
PRC1	2810.42395963	3.17363714127	0.289961480412	10.9450301356	7.01943815835e-28	1.0491067263e-25
TXNDC12	4285.53219064	1.50847367729	0.137955459845	10.9344978371	7.88412574837e-28	1.1692764956e-25
PAFAH1B3	3523.66306746	3.23572322781	0.297058917181	10.8925302041	1.25115116092e-27	1.84138888416e-25
ULBP2	374.531372833	5.29721698024	0.487440005539	10.8674235189	1.64788785403e-27	2.40691498679e-25
DDIAS	513.152507107	3.30759735424	0.305428773597	10.8293574154	2.49902838095e-27	3.62265166802e-25
XRCC2	345.191684875	3.34472127015	0.309063007244	10.8221339719	2.70406849469e-27	3.89062989386e-25
EPM2A	216.472122133	-2.71579087386	0.251300452854	-10.8069477911	3.19111457593e-27	4.55738437215e-25
MTFR2	314.941131612	3.28429651386	0.304052105766	10.8017555267	3.37684544279e-27	4.78717501007e-25
P4HB	61042.0724599	1.89997375166	0.175990479805	10.7958893786	3.59960366093e-27	5.06571960458e-25
TUBB3	4468.92206875	5.79004748186	0.536704950295	10.7881387691	3.91640749088e-27	5.47161858147e-25
FAM72C	285.136799517	4.47932872818	0.415437476365	10.7821970405	4.17785996621e-27	5.79490216896e-25
PLK4	632.050403085	2.83849921976	0.26353167807	10.7709981607	4.71857563332e-27	6.49815272932e-25
TUBA1C	17263.5984574	2.60966898063	0.242784127866	10.7489274673	5.99546898821e-27	8.19805972289e-25
ALYREF	4165.79856209	2.29544467907	0.213913962392	10.7306912246	7.30476991013e-27	9.91802562446e-25
STMN1	14440.1389941	3.3985808786	0.317013381134	10.7206227903	8.14530096512e-27	1.09819162663e-24
SNRPF	3385.17484971	2.48282347689	0.231870829913	10.7077870805	9.35717668181e-27	1.25282198906e-24
ZNF695	132.994964193	4.57749341222	0.427542635536	10.706519144	9.48618033263e-27	1.26133487457e-24
SMTN	5305.29010393	-3.70179511009	0.346738010583	-10.6760579951	1.31748054254e-26	1.73979622329e-24
TDO2	250.665147355	6.12757278306	0.574583687574	10.6643695524	1.49408860777e-26	1.95959376583e-24
ZHX3	1067.69166723	-2.33762114842	0.219284070498	-10.6602414991	1.56191337645e-26	2.03470877689e-24
PPP1CA	11989.2560744	2.01802988955	0.189895219324	10.6270705326	2.23007611307e-26	2.88562868858e-24
CHEK1	1065.83058085	2.75592766998	0.259810256601	10.6074629464	2.75118039316e-26	3.53618386535e-24
NT5DC3	611.794395263	-3.41445988513	0.322087520585	-10.601031294	2.94712189325e-26	3.76294768886e-24
EBP	3215.34301956	2.47470302285	0.234259360804	10.5639450836	4.37863914212e-26	5.55395806974e-24
CENPE	1116.59015485	3.2090677474	0.305112845191	10.5176422362	7.16439587536e-26	9.02807532529e-24
PDIA4	14995.5129264	2.25225238433	0.214217745424	10.5138459929	7.45883188807e-26	9.33807005208e-24
C17orf53	437.290323827	2.94504632606	0.280407801808	10.5027260549	8.39209475327e-26	1.03717683874e-23
TYMS	2816.58317483	3.59643092031	0.342422180328	10.5029146093	8.3753441412e-26	1.03717683874e-23
MAD2L1	1374.01189024	3.21301514134	0.306543904676	10.4814191127	1.05153867567e-25	1.29131628452e-23
FAM72D	311.925926228	3.92158662716	0.374221889349	10.4793085033	1.07527057569e-25	1.31210232273e-23
SUMO2	12244.0554561	1.35986828534	0.129788599999	10.4775634019	1.09529299052e-25	1.32812885894e-23
TACC3	4663.16834769	3.33286295536	0.318253907643	10.4723394602	1.15746519976e-25	1.39474556571e-23
FAM72A	354.121724759	3.19572540426	0.306753374475	10.4178981233	2.05443192185e-25	2.46021412754e-23
MCM2	4160.35044051	3.14819247725	0.302639031091	10.402466813	2.41596376918e-25	2.87529515246e-23
ACTG1	187169.380487	1.66978596121	0.160611258512	10.3964440394	2.57358726037e-25	3.04409585153e-23
ABL1	3791.02150865	-2.04861993107	0.197244638466	-10.3861881722	2.86578463648e-25	3.36904437752e-23
DNAJB11	4462.16893199	1.74905786543	0.168521298544	10.3788534775	3.09469300784e-25	3.61610189037e-23
TMEM132A	3937.64332366	3.46552988814	0.334549757077	10.3587876387	3.81770162318e-25	4.43405345151e-23
KLHDC7B	5209.32610352	7.36958137548	0.712126828951	10.3486922215	4.24241019519e-25	4.89782446487e-23
HMGA1	17243.3103231	3.25390909986	0.315102232271	10.3265187187	5.34659027828e-25	6.13584884317e-23
COG8	370.314512301	2.18422544437	0.212225400589	10.2920076405	7.65631024151e-25	8.73453618084e-23
SNRPB	12970.9341388	2.12408742271	0.206594145494	10.2814502204	8.54323096479e-25	9.68363111243e-23
PPIA	61583.9386166	1.72943825767	0.168217932957	10.2809387041	8.58869771901e-25	9.68363111243e-23
ENSG00000279473	60.0055339459	6.99721184546	0.681245453995	10.271205194	9.50102252572e-25	1.06499833893e-22
E2F2	550.098737276	4.26240732614	0.415113656449	10.2680489064	9.8169952782e-25	1.09405588996e-22
ZNF280D	1189.41424615	-1.60185888544	0.156093699321	-10.2621623576	1.04343598493e-24	1.15617504537e-22
TNS2	1921.0937632	-3.23550050964	0.316276121923	-10.2299866647	1.45539418632e-24	1.60342856642e-22
