	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NXF1	2938.76222701	-1.55561633106	0.0418762451622	-37.1479421097	4.73259424319e-302	9.2962348719e-298
TIAF1	322.563960152	-3.21666281552	0.0884432414831	-36.3697978679	1.27852718137e-289	1.25570547119e-285
PRSS53	508.374932338	-4.89948952293	0.134793149122	-36.3482087541	2.80459828655e-289	1.83635747142e-285
NPIPB5	2687.20673645	-3.01785043872	0.0871152211748	-34.6420567844	5.88342435849e-263	2.88920261685e-259
RBM6	2688.06047373	-1.93883708881	0.0564378384756	-34.3534965403	1.24888482192e-258	4.9063689114e-255
UBAP1L	224.436973412	-3.12188281074	0.0917375418654	-34.0305914816	7.86264028983e-254	2.57409738689e-250
AKAP17A	2075.14747724	-1.94489970473	0.057312329183	-33.9351014425	2.02340294368e-252	5.67795771754e-249
MDK	5407.35075964	5.45626084361	0.162958983341	33.4824182856	8.68905251383e-246	2.13348823161e-242
GPC3	21824.3495647	7.19125100664	0.217114638801	33.1219076077	1.43784403851e-240	3.13817449427e-237
GBA	5147.9416411	2.61550755356	0.0792356920958	33.0092094154	5.99179178947e-239	1.17696766121e-235
PNN	3406.23526306	-1.97462943436	0.0606946053877	-32.5338540674	3.54272503779e-232	6.32634071976e-229
PLVAP	3306.16144524	3.52668819255	0.108843618141	32.4014237379	2.62084632829e-230	4.29010703555e-227
ADAMTS13	776.839972036	-3.46799546718	0.107881714611	-32.1462768706	9.95628919336e-227	1.50439529712e-223
SRRM2	17573.1876217	-2.06038374067	0.0650297274097	-31.683721011	2.60398730813e-220	3.65358019241e-217
CCNL1	3298.15882825	-2.16297811273	0.0684543949446	-31.5973592999	4.01370190574e-219	5.25607643563e-216
RBM33	1678.04483354	-1.43618518029	0.0458807794479	-31.3025453703	4.30859954583e-215	5.28961380492e-212
AC006254.1	9152.06692607	-3.97670293569	0.129167122672	-30.7872688763	3.87983279666e-208	4.48303268381e-205
CDKN2A	474.090772802	5.15796183514	0.167918075307	30.7171328978	3.36126890135e-207	3.66807805717e-204
RBM5	2607.7958575	-1.33837640383	0.0440045491619	-30.414500985	3.53265535866e-203	3.65220785316e-200
FAM193B	1774.02196188	-2.02609071429	0.0669617905261	-30.2574154361	4.16779571768e-201	4.09340056412e-198
NPIPB13	86.4556008046	-3.87062739596	0.128142771642	-30.205585117	2.00054815267e-200	1.87127463633e-197
TAF1C	1304.03300786	-1.61117121102	0.0535290113048	-30.0990280175	4.9893452617e-199	4.45480495343e-196
TRIM66	674.765264631	-2.54064945197	0.0847440325417	-29.9802756108	1.774218307e-197	1.5152595741e-194
MZF1	776.611698751	-2.04169780283	0.06882984539	-29.6629723816	2.30742803649e-193	1.88853370503e-190
LENG8	4653.93544267	-2.09583713576	0.0709121789717	-29.5553904301	5.59899481765e-192	4.39924220812e-189
AGAP6	694.443377521	-2.40015363086	0.0812369642377	-29.545092599	7.59308658804e-192	5.73657691727e-189
SNRNP70	8772.88030598	-1.82150807388	0.0624775909506	-29.1545824058	7.30820920104e-187	5.31685753097e-184
PAN2	2495.747341	-2.13189570933	0.0733125026828	-29.0795653036	6.50949597873e-186	4.56664391108e-183
AC005726.2	79.6773886638	-2.66389855319	0.0918525316099	-29.001906714	6.22521114466e-185	4.21661456947e-182
SLC25A37	1277.32314708	-2.45252844976	0.0846399756749	-28.9760060799	1.32015079887e-184	8.64390738074e-182
